TITLE="Integrated loads convergence history"
VARIABLES="R-time", "P-Time", "Fn_x", "Fn_y", "Fn_z", "Mn_x", "Mn_y", "Mn_z", "Ft_x", "Ft_y", "Ft_z", "Mt_x", "Mt_y", "Mt_z"
ZONE T="WALL"
      1     10 -0.36209846E-02 -0.48352573E-04  0.85757173E-02  0.58156553E-02 -0.85457594E-02  0.24274854E-02 -0.19075961E-02 -0.12971080E-03 -0.25463865E-03 -0.18101910E-03  0.26292016E-03  0.12153786E-02
      1     10 -0.36209841E-02 -0.48352597E-04  0.85757174E-02  0.58156553E-02 -0.85457595E-02  0.24274850E-02 -0.19075959E-02 -0.12971080E-03 -0.25463863E-03 -0.18101910E-03  0.26292014E-03  0.12153785E-02
      1     20 -0.36260469E-02 -0.24583000E-04  0.86325828E-02  0.58602430E-02 -0.86022963E-02  0.24566101E-02 -0.14002057E-02 -0.93597984E-04 -0.18906461E-03 -0.13409643E-03  0.19531883E-03  0.89316577E-03
      1     10 -0.36209847E-02 -0.48351946E-04  0.85757167E-02  0.58156548E-02 -0.85457588E-02  0.24274861E-02 -0.19075959E-02 -0.12971062E-03 -0.25463864E-03 -0.18101910E-03  0.26292015E-03  0.12153787E-02
      1     20 -0.36260470E-02 -0.24582894E-04  0.86325781E-02  0.58602397E-02 -0.86022920E-02  0.24566105E-02 -0.14002006E-02 -0.93597238E-04 -0.18906410E-03 -0.13409606E-03  0.19531829E-03  0.89316309E-03
      1     30 -0.36065891E-02 -0.20917256E-04  0.86408219E-02  0.58663248E-02 -0.86104764E-02  0.24474641E-02 -0.10998334E-02 -0.72525506E-04 -0.15024885E-03 -0.10633476E-03  0.15523972E-03  0.70203216E-03
      1     40 -0.35636226E-02 -0.18171110E-04  0.86371592E-02  0.58635883E-02 -0.86067870E-02  0.24216341E-02 -0.91059562E-03 -0.58903888E-04 -0.12548325E-03 -0.88620631E-04  0.12964670E-03  0.58203684E-03
      1     50 -0.34855259E-02 -0.14980186E-04  0.86222217E-02  0.58533897E-02 -0.85918169E-02  0.23730905E-02 -0.78451524E-03 -0.49499618E-04 -0.10882317E-03 -0.76710429E-04  0.11241717E-03  0.50249799E-03
      1     60 -0.33552705E-02 -0.11795958E-04  0.85800357E-02  0.58250306E-02 -0.85496894E-02  0.22899430E-02 -0.69568207E-03 -0.42569030E-04 -0.97084668E-04 -0.68330389E-04  0.10026634E-03  0.44682298E-03
      1     70 -0.31579574E-02 -0.78827593E-05  0.84764158E-02  0.57560708E-02 -0.84466496E-02  0.21627968E-02 -0.62976626E-03 -0.37305683E-04 -0.88543570E-04 -0.62240931E-04  0.91408653E-04  0.40566549E-03
      1     80 -0.28851857E-02 -0.32012930E-05  0.82587260E-02  0.56125395E-02 -0.82310803E-02  0.19859043E-02 -0.57863751E-03 -0.33300375E-04 -0.82377880E-04 -0.57838903E-04  0.84982980E-04  0.37367270E-03
      1     90 -0.25411324E-02  0.49419352E-06  0.78752910E-02  0.53596341E-02 -0.78525626E-02  0.17603135E-02 -0.53754274E-03 -0.30077752E-04 -0.77719646E-04 -0.54543528E-04  0.80106989E-04  0.34795537E-03
      1    100 -0.21441825E-02  0.29815641E-05  0.73331784E-02  0.50032031E-02 -0.73193971E-02  0.14987181E-02 -0.50356249E-03 -0.27539889E-04 -0.73539982E-04 -0.51590567E-04  0.75749226E-04  0.32654870E-03
